2026-03-27 19:33 <INFO>  [40s] Converging System... it took 2.23s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [40s] 40.7s - Resetting the target for OxygenSaturation to 0.979208, the last target value was 0.976766 
2026-03-27 19:33 <INFO>  [43s] 43.2s - Resetting the target for TidalVolume to 0.604172, the last target value was 0.606989 
2026-03-27 19:33 <INFO>  [43s] 43.2s - Resetting the target for EndTidalCarbonDioxideFraction to 0.045043, the last target value was 0.045636 
2026-03-27 19:33 <INFO>  [46s] 46.78s - Resetting the target for TidalVolume to 0.60105, the last target value was 0.604172 
2026-03-27 19:33 <INFO>  [46s] 46.78s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0445028, the last target value was 0.045043 
2026-03-27 19:33 <INFO>  [47s] 47.46s - Resetting the target for SkinTemperatureLeftArm to 32.2261, the last target value was 32.5517 
2026-03-27 19:33 <INFO>  [47s] 47.46s - Resetting the target for SkinTemperatureRightArm to 32.2261, the last target value was 32.5517 
2026-03-27 19:33 <INFO>  [48s] 48.68s - Resetting the target for SkinTemperatureTorso to 33.7744, the last target value was 34.1158 
2026-03-27 19:33 <INFO>  [49s] 49.32s - Resetting the target for SkinTemperatureHead to 32.1399, the last target value was 32.4647 
2026-03-27 19:33 <INFO>  [50s] Converging System... it took 2.3s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [50s] 50.36s - Resetting the target for TidalVolume to 0.597511, the last target value was 0.60105 
2026-03-27 19:33 <INFO>  [50s] 50.36s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0440191, the last target value was 0.0445028 
2026-03-27 19:33 <INFO>  [53s] 53.94s - Resetting the target for TidalVolume to 0.59369, the last target value was 0.597511 
2026-03-27 19:33 <INFO>  [53s] 53.94s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0435532, the last target value was 0.0440191 
2026-03-27 19:33 <INFO>  [57s] 57.52s - Resetting the target for TidalVolume to 0.589674, the last target value was 0.59369 
2026-03-27 19:33 <INFO>  [57s] 57.52s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0431072, the last target value was 0.0435532 
2026-03-27 19:33 <INFO>  [1m0s] Converging System... it took 1.86s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [1m0s] 60.26s - Resetting the target for SkinTemperatureLeftLeg to 32.8776, the last target value was 33.2098 
2026-03-27 19:33 <INFO>  [1m0s] 60.26s - Resetting the target for SkinTemperatureRightLeg to 32.8776, the last target value was 33.2098 
2026-03-27 19:33 <INFO>  [1m1s] 61.1s - Resetting the target for TidalVolume to 0.585522, the last target value was 0.589674 
2026-03-27 19:33 <INFO>  [1m1s] 61.1s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0427155, the last target value was 0.0431072 
